Country,Value
Austria,37789145
Belgium,3735824
Croatia,13726880
Cyprus,1370618
Czech Republic,14318178
Denmark,2487819
Estonia,3330500
Finland,10618400
France,879615200
Germany,56310856
Greece,35445540
Hungary,2441215
Iceland,784600
Ireland,4038107900
Isle of Man,218750
Italy,277915160
Latvia,549316
Liechtenstein,2020
Lithuiania,2677820
Luxembourg,746498300
Malta,94252
Norway,12532350
Poland,21213599
Portugal,6154000
Romania,1689150
Slovakia,102135
Spain,135267113
Sweden,31701430
Netherlands,355145500
United Kingdom,100196755
